=== CELL DIVISION DECISIONS LOG ===
Started at: 2025-10-29 17:53:26
====================================================================================================
Cell ID | Decision | Age | ATP_Norm | Phenotype | ATP_Type | Reason
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.2 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.2 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.3 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.3 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.4 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.4 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
cell_000 | NO_DIV |    0.5 |  0.000 | Growth_Arrest | none     | Age insufficient: 0.5 < 240
